0 shoot completed :time , area , shape (0.36, 67463.0, 4)
1 shoot completed :time , area , shape (0.39, 71631.45409450088, 12)
2 shoot completed :time , area , shape (0.29, 84078.5, 4)
3 shoot completed :time , area , shape (0.35, 69772.0, 7)
4 shoot completed :time , area , shape (0.4, 56603.5, 4)
5 shoot completed :time , area , shape (0.3, 83066.0, 4)
6 shoot completed :time , area , shape (0.38, 63951.0, 4)
7 shoot completed :time , area , shape (0.4, 56307.0, 11)
8 shoot completed :time , area , shape (0.25, 109213.0, 4)
9 shoot completed :time , area , shape (0.4, 56988.5, 4)
10 shoot completed :time , area , shape (0.37, 66091.5, 4)
11 shoot completed :time , area , shape (0.36, 68029.5, 4)
12 shoot completed :time , area , shape (0.37, 65654.0, 4)
0 shoot completed :time , area , shape (0.39, 62644.5, 4)
1 shoot completed :time , area , shape (0.35, 82447.95760081054, 12)
2 shoot completed :time , area , shape (0.3, 82024.0, 7)
3 shoot completed :time , area , shape (0.4, 62035.0, 6)
4 shoot completed :time , area , shape (0.38, 64854.0, 4)
5 shoot completed :time , area , shape (0.4, 58310.5, 11)
