0 shoot completed :time , area , shape (0.37, 66903.5, 4)
1 shoot completed :time , area , shape (0.39999999999999997, 69746.49850234699, 12)
2 shoot completed :time , area , shape (0.3, 81351.5, 6)
3 shoot completed :time , area , shape (0.38, 65315.0, 8)
4 shoot completed :time , area , shape (0.3, 80601.5, 4)
5 shoot completed :time , area , shape (0.2, 127867.5, 6)
6 shoot completed :time , area , shape (0.2, 128930.5, 4)
7 shoot completed :time , area , shape (0.37, 65882.5, 4)
8 shoot completed :time , area , shape (0.4, 59824.0, 4)
9 shoot completed :time , area , shape (0.25, 100053.0, 4)
0 shoot completed :time , area , shape (0.36, 67335.5, 4)
1 shoot completed :time , area , shape (0.25, 128189.54663707792, 12)
2 shoot completed :time , area , shape (0.25, 241752.5, 4)
3 shoot completed :time , area , shape (0.33, 75488.0, 7)
4 shoot completed :time , area , shape (0.25, 101240.5, 4)
5 shoot completed :time , area , shape (0.25, 98945.5, 7)
6 shoot completed :time , area , shape (0.25, 104529.5, 4)
7 shoot completed :time , area , shape (0.33, 75255.5, 7)
8 shoot completed :time , area , shape (0.33, 73775.0, 6)
9 shoot completed :time , area , shape (0.34, 71315.0, 6)
10 shoot completed :time , area , shape (0.31, 79689.5, 12)
0 shoot completed :time , area , shape (0.25, 100438.0, 4)
1 shoot completed :time , area , shape (0.28, 106361.76087993603, 12)
2 shoot completed :time , area , shape (0.25, 99115.5, 4)
3 shoot completed :time , area , shape (0.37, 65750.5, 6)
4 shoot completed :time , area , shape (0.36, 68550.5, 4)
5 shoot completed :time , area , shape (0.35, 69374.0, 8)
6 shoot completed :time , area , shape (0.26, 92951.0, 11)
7 shoot completed :time , area , shape (0.25, 177810.5, 4)
8 shoot completed :time , area , shape (0.4, 60396.5, 4)
9 shoot completed :time , area , shape (0.32, 76770.0, 16)
10 shoot completed :time , area , shape (0.31, 80413.0, 7)
11 shoot completed :time , area , shape (0.25, 111355.5, 4)
12 shoot completed :time , area , shape (0.25, 99123.5, 4)
0 shoot completed :time , area , shape (0.37, 65649.0, 4)
1 shoot completed :time , area , shape (0.31, 94024.72652928892, 12)
2 shoot completed :time , area , shape (0.28, 87784.0, 4)
3 shoot completed :time , area , shape (0.3, 82424.5, 4)
4 shoot completed :time , area , shape (0.38, 64276.0, 4)
5 shoot completed :time , area , shape (0.39, 63552.0, 4)
6 shoot completed :time , area , shape (0.33, 74525.0, 9)
7 shoot completed :time , area , shape (0.25, 166801.0, 4)
8 shoot completed :time , area , shape (0.34, 72937.0, 4)
9 shoot completed :time , area , shape (0.25, 129796.5, 4)
10 shoot completed :time , area , shape (0.25, 112907.0, 12)
11 shoot completed :time , area , shape (0.25, 134817.0, 4)
12 shoot completed :time , area , shape (0.25, 102589.5, 4)
0 shoot completed :time , area , shape (0.36, 67822.0, 4)
1 shoot completed :time , area , shape (0.4, 60698.71166000839, 12)
2 shoot completed :time , area , shape (0.4, 57053.5, 4)
3 shoot completed :time , area , shape (0.4, 58024.0, 6)
4 shoot completed :time , area , shape (0.38, 65109.5, 4)
5 shoot completed :time , area , shape (0.34, 71516.0, 4)
6 shoot completed :time , area , shape (0.4, 60348.0, 4)
7 shoot completed :time , area , shape (0.34, 71352.0, 15)
8 shoot completed :time , area , shape (0.4, 60834.0, 4)
9 shoot completed :time , area , shape (0.38, 64576.5, 4)
10 shoot completed :time , area , shape (0.38, 65150.0, 4)
11 shoot completed :time , area , shape (0.35, 69869.0, 4)
12 shoot completed :time , area , shape (0.4, 56364.5, 4)
